p,P		x		y(x)		s(x)		eps
0,1	1.000000	 4.207355	1.034100	3.173255
1,1	1.100000	 4.456037	1.004096	3.451941
2,1	1.200000	 4.660195	0.966894	3.693301
3,1	1.300000	 4.817791	0.924076	3.893715
4,1	1.400000	 4.927248	0.877224	4.050024
5,1	1.500000	 4.987475	0.827921	4.159554
6,1	1.600000	 4.997868	0.777748	4.220120
7,1	1.700000	 4.958324	0.728287	4.230037
8,1	1.800000	 4.869238	0.681120	4.188118
9,1	1.900000	 4.731500	0.637831	4.093669
10,1	2.000000	 4.546487	0.600000	3.946487
11,1	2.100000	 4.316047	0.569210	3.746837
12,1	2.200000	 4.042482	0.547043	3.495439
13,1	2.300000	 3.728525	0.535081	3.193444
14,1	2.400000	 3.377316	0.534907	2.842409
15,1	2.500000	 2.992361	0.548102	2.444259
16,2	2.600000	 2.577507	0.474957	2.102550
17,2	2.700000	 2.136899	0.460081	1.676818
18,2	2.800000	 1.674940	0.443626	1.231314
19,2	2.900000	 1.196246	0.424360	0.771887
20,2	3.000000	 0.705600	0.401050	0.304550
21,2	3.100000	 0.207903	0.372466	0.164564
22,2	3.200000	-0.291871	0.337376	0.629247
23,2	3.300000	-0.788728	0.294549	1.083277
24,2	3.400000	-1.277706	0.242753	1.520459
25,2	3.500000	-1.753916	0.180756	1.934673
26,2	3.600000	-2.212603	0.107328	2.319931
27,2	3.700000	-2.649181	0.021236	2.670417
28,2	3.800000	-3.059289	-0.078751	2.980538
29,2	3.900000	-3.438831	-0.193866	3.244966
30,2	4.000000	-3.784013	-0.325337	3.458675
31,3	4.100000	-4.091387	0.091725	4.183112
32,3	4.200000	-4.357878	0.092701	4.450580
33,3	4.300000	-4.580830	0.104249	4.685079
34,3	4.400000	-4.758010	0.127689	4.885699
35,3	4.500000	-4.887650	0.164341	5.051992
36,3	4.600000	-4.968455	0.215527	5.183982
37,3	4.700000	-4.999616	0.282566	5.282182
38,3	4.800000	-4.980823	0.366779	5.347602
39,3	4.900000	-4.912263	0.469487	5.381750
40,3	5.000000	-4.794621	0.592010	5.386631
41,3	5.100000	-4.629074	0.735668	5.364741
42,3	5.200000	-4.417273	0.901783	5.319056
43,3	5.300000	-4.161337	1.091674	5.253011
44,3	5.400000	-3.863822	1.306662	5.170484
45,3	5.500000	-3.527702	1.548067	5.075769
46,4	5.600000	-3.156333	0.374356	3.530689
47,4	5.700000	-2.753427	0.384762	3.138189
48,4	5.800000	-2.323010	0.389617	2.712627
49,4	5.900000	-1.869383	0.388127	2.257510
50,4	6.000000	-1.397077	0.379500	1.776577
51,4	6.100000	-0.910813	0.362942	1.273755
52,4	6.200000	-0.415446	0.337661	0.753106
53,4	6.300000	 0.084070	0.302863	0.218792
54,4	6.400000	 0.582747	0.257755	0.324992
55,4	6.500000	 1.075600	0.201544	0.874056
56,4	6.600000	 1.557706	0.133438	1.424268
57,4	6.700000	 2.024251	0.052642	1.971609
58,4	6.800000	 2.470568	-0.041636	2.512203
59,4	6.900000	 2.892199	-0.150189	3.042388
60,4	7.000000	 3.284933	-0.273809	3.558742
